2025-12-01 10:28:34,297 - INFO - 
   mean radius  mean texture  mean perimeter  mean area  ...  worst concavity  worst concave points  worst symmetry  worst fractal dimension
0        17.99         10.38          122.80     1001.0  ...           0.7119                0.2654          0.4601                  0.11890
1        20.57         17.77          132.90     1326.0  ...           0.2416                0.1860          0.2750                  0.08902
2        19.69         21.25          130.00     1203.0  ...           0.4504                0.2430          0.3613                  0.08758
3        11.42         20.38           77.58      386.1  ...           0.6869                0.2575          0.6638                  0.17300
4        20.29         14.34          135.10     1297.0  ...           0.4000                0.1625          0.2364                  0.07678

[5 rows x 30 columns]
2025-12-01 10:28:34,316 - INFO - 
       mean radius  mean texture  mean perimeter  ...  worst concave points  worst symmetry  worst fractal dimension
count   569.000000    569.000000      569.000000  ...            569.000000      569.000000               569.000000
mean     14.127292     19.289649       91.969033  ...              0.114606        0.290076                 0.083946
std       3.524049      4.301036       24.298981  ...              0.065732        0.061867                 0.018061
min       6.981000      9.710000       43.790000  ...              0.000000        0.156500                 0.055040
25%      11.700000     16.170000       75.170000  ...              0.064930        0.250400                 0.071460
50%      13.370000     18.840000       86.240000  ...              0.099930        0.282200                 0.080040
75%      15.780000     21.800000      104.100000  ...              0.161400        0.317900                 0.092080
max      28.110000     39.280000      188.500000  ...              0.291000        0.663800                 0.207500

[8 rows x 30 columns]
2025-12-01 10:28:34,316 - INFO - Статистика меток:
2025-12-01 10:28:34,316 - INFO - Уникальные значения: [0 1]
2025-12-01 10:28:34,317 - INFO - Распределение по классам:
1    357
0    212
Name: count, dtype: int64
2025-12-01 10:28:34,336 - INFO - 
       mean radius  mean texture  mean perimeter  ...  worst concave points  worst symmetry  worst fractal dimension
count   569.000000    569.000000      569.000000  ...            569.000000      569.000000               569.000000
mean      0.338222      0.323965        0.332935  ...              0.393836        0.263307                 0.189596
std       0.166787      0.145453        0.167915  ...              0.225884        0.121954                 0.118466
min       0.000000      0.000000        0.000000  ...              0.000000        0.000000                 0.000000
25%       0.223342      0.218465        0.216847  ...              0.223127        0.185098                 0.107700
50%       0.302381      0.308759        0.293345  ...              0.343402        0.247782                 0.163977
75%       0.416442      0.408860        0.416765  ...              0.554639        0.318155                 0.242949
max       1.000000      1.000000        1.000000  ...              1.000000        1.000000                 1.000000

[8 rows x 30 columns]
2025-12-01 10:28:34,336 - INFO - Запустили пайплайн с ядром gaussian!
2025-12-01 10:28:36,681 - INFO - Минимальный эмпирический риск = 0.0211 достигается при k = 20
2025-12-01 10:38:03,809 - INFO - размер множества omega: 540, время итерации: 18.910613866995845
2025-12-01 10:38:22,371 - INFO - размер множества omega: 539, время итерации: 18.56218502500269
2025-12-01 10:38:40,824 - INFO - размер множества omega: 538, время итерации: 18.452543241000967
2025-12-01 10:38:59,301 - INFO - размер множества omega: 537, время итерации: 18.477594574003888
2025-12-01 10:39:17,663 - INFO - размер множества omega: 536, время итерации: 18.361293286005093
2025-12-01 10:39:36,042 - INFO - размер множества omega: 535, время итерации: 18.379324614004872
2025-12-01 10:39:54,420 - INFO - размер множества omega: 534, время итерации: 18.377669554000022
2025-12-01 10:40:12,657 - INFO - размер множества omega: 533, время итерации: 18.2368621850037
2025-12-01 10:40:30,923 - INFO - размер множества omega: 532, время итерации: 18.265906077002
2025-12-01 10:40:49,016 - INFO - размер множества omega: 531, время итерации: 18.09291056299844
2025-12-01 10:41:07,091 - INFO - размер множества omega: 530, время итерации: 18.075650231003237
2025-12-01 10:41:25,107 - INFO - размер множества omega: 529, время итерации: 18.015528584001004
2025-12-01 10:41:43,105 - INFO - размер множества omega: 528, время итерации: 17.997781058998953
2025-12-01 10:42:01,218 - INFO - размер множества omega: 527, время итерации: 18.112818267996772
2025-12-01 10:42:19,124 - INFO - размер множества omega: 526, время итерации: 17.906309441001213
2025-12-01 10:42:37,129 - INFO - размер множества omega: 525, время итерации: 18.004642177002097
2025-12-01 10:42:54,939 - INFO - размер множества omega: 524, время итерации: 17.809783771001094
2025-12-01 10:43:12,777 - INFO - размер множества omega: 523, время итерации: 17.83771441099816
2025-12-01 10:43:30,449 - INFO - размер множества omega: 522, время итерации: 17.67227026299952
2025-12-01 10:43:47,999 - INFO - размер множества omega: 521, время итерации: 17.549788212003477
2025-12-01 10:44:05,548 - INFO - размер множества omega: 520, время итерации: 17.54887936400337
2025-12-01 10:44:23,103 - INFO - размер множества omega: 519, время итерации: 17.5548415939993
2025-12-01 10:44:40,639 - INFO - размер множества omega: 518, время итерации: 17.536219007997715
2025-12-01 10:44:58,065 - INFO - размер множества omega: 517, время итерации: 17.425774534000084
2025-12-01 10:45:15,440 - INFO - размер множества omega: 516, время итерации: 17.37502152700472
2025-12-01 10:45:32,608 - INFO - размер множества omega: 515, время итерации: 17.168228615999396
2025-12-01 10:45:49,751 - INFO - размер множества omega: 514, время итерации: 17.14267894299701
2025-12-01 10:46:06,772 - INFO - размер множества omega: 513, время итерации: 17.02076895200298
2025-12-01 10:46:23,921 - INFO - размер множества omega: 512, время итерации: 17.149022245001106
2025-12-01 10:46:40,830 - INFO - размер множества omega: 511, время итерации: 16.909104427002603
2025-12-01 10:46:57,859 - INFO - размер множества omega: 510, время итерации: 17.028348735999316
2025-12-01 10:47:14,797 - INFO - размер множества omega: 509, время итерации: 16.938003980001668
2025-12-01 10:47:31,781 - INFO - размер множества omega: 508, время итерации: 16.98435853200499
2025-12-01 10:47:48,757 - INFO - размер множества omega: 507, время итерации: 16.97613346199796
2025-12-01 10:48:05,581 - INFO - размер множества omega: 506, время итерации: 16.82406849400286
2025-12-01 10:48:22,393 - INFO - размер множества omega: 505, время итерации: 16.811802486001397
2025-12-01 10:48:39,023 - INFO - размер множества omega: 504, время итерации: 16.629780387993378
2025-12-01 10:48:55,722 - INFO - размер множества omega: 503, время итерации: 16.698652099003084
2025-12-01 10:49:12,282 - INFO - размер множества omega: 502, время итерации: 16.560077617999923
2025-12-01 10:49:29,140 - INFO - размер множества omega: 501, время итерации: 16.857567726001434
2025-12-01 10:49:45,842 - INFO - размер множества omega: 500, время итерации: 16.70248202399671
2025-12-01 10:50:02,593 - INFO - размер множества omega: 499, время итерации: 16.750326399000187
2025-12-01 10:50:19,383 - INFO - размер множества omega: 498, время итерации: 16.789916393005115
2025-12-01 10:50:36,100 - INFO - размер множества omega: 497, время итерации: 16.71692461999919
2025-12-01 10:50:52,639 - INFO - размер множества omega: 496, время итерации: 16.539265380997676
2025-12-01 10:51:09,242 - INFO - размер множества omega: 495, время итерации: 16.602537177997874
2025-12-01 10:51:25,679 - INFO - размер множества omega: 494, время итерации: 16.43676326899731
2025-12-01 10:51:42,032 - INFO - размер множества omega: 493, время итерации: 16.352957196002535
2025-12-01 10:51:58,261 - INFO - размер множества omega: 492, время итерации: 16.229146768993814
2025-12-01 10:52:14,706 - INFO - размер множества omega: 491, время итерации: 16.445415838999907
2025-12-01 10:52:31,086 - INFO - размер множества omega: 490, время итерации: 16.37938933500118
2025-12-01 10:52:47,194 - INFO - размер множества omega: 489, время итерации: 16.108022216998506
2025-12-01 10:53:03,322 - INFO - размер множества omega: 488, время итерации: 16.1278565169996
2025-12-01 10:53:19,331 - INFO - размер множества omega: 487, время итерации: 16.009067097998923
2025-12-01 10:53:35,449 - INFO - размер множества omega: 486, время итерации: 16.117756298997847
2025-12-01 10:53:51,291 - INFO - размер множества omega: 485, время итерации: 15.841779419999511
2025-12-01 10:54:07,233 - INFO - размер множества omega: 484, время итерации: 15.94245081799454
2025-12-01 10:54:23,126 - INFO - размер множества omega: 483, время итерации: 15.892620066995732
2025-12-01 10:54:39,050 - INFO - размер множества omega: 482, время итерации: 15.92348864399537
2025-12-01 10:54:54,743 - INFO - размер множества omega: 481, время итерации: 15.692949503005366
2025-12-01 10:55:10,564 - INFO - размер множества omega: 480, время итерации: 15.82110102000297
2025-12-01 10:55:26,211 - INFO - размер множества omega: 479, время итерации: 15.646808332996443
2025-12-01 10:55:41,900 - INFO - размер множества omega: 478, время итерации: 15.689250845003698
2025-12-01 10:55:57,430 - INFO - размер множества omega: 477, время итерации: 15.529567233999842
2025-12-01 10:56:13,056 - INFO - размер множества omega: 476, время итерации: 15.626061810995452
2025-12-01 10:56:28,434 - INFO - размер множества omega: 475, время итерации: 15.37788273300248
2025-12-01 10:56:43,865 - INFO - размер множества omega: 474, время итерации: 15.431293832996744
2025-12-01 10:56:59,284 - INFO - размер множества omega: 473, время итерации: 15.419068105002225
2025-12-01 10:57:14,587 - INFO - размер множества omega: 472, время итерации: 15.302969862001191
2025-12-01 10:57:29,989 - INFO - размер множества omega: 471, время итерации: 15.40189389999432
2025-12-01 10:57:45,246 - INFO - размер множества omega: 470, время итерации: 15.257034262998786
2025-12-01 10:58:00,372 - INFO - размер множества omega: 469, время итерации: 15.125711255001079
2025-12-01 10:58:15,441 - INFO - размер множества omega: 468, время итерации: 15.068433624001045
2025-12-01 10:58:30,580 - INFO - размер множества omega: 467, время итерации: 15.138999445000081
2025-12-01 10:58:45,567 - INFO - размер множества omega: 466, время итерации: 14.987424525999813
2025-12-01 10:59:00,693 - INFO - размер множества omega: 465, время итерации: 15.125569654002902
2025-12-01 10:59:15,580 - INFO - размер множества omega: 464, время итерации: 14.88738679800008
2025-12-01 10:59:30,443 - INFO - размер множества omega: 463, время итерации: 14.862357535996125
2025-12-01 10:59:45,255 - INFO - размер множества omega: 462, время итерации: 14.811679081001785
2025-12-01 11:00:00,079 - INFO - размер множества omega: 461, время итерации: 14.824678887001937
2025-12-01 11:00:14,755 - INFO - размер множества omega: 460, время итерации: 14.675749709000229
2025-12-01 11:00:29,510 - INFO - размер множества omega: 459, время итерации: 14.754287297997507
2025-12-01 11:00:44,075 - INFO - размер множества omega: 458, время итерации: 14.56555190099607
2025-12-01 11:00:58,650 - INFO - размер множества omega: 457, время итерации: 14.574563289999787
2025-12-01 11:01:13,107 - INFO - размер множества omega: 456, время итерации: 14.457050389995857
2025-12-01 11:01:27,446 - INFO - размер множества omega: 455, время итерации: 14.339458810005453
2025-12-01 11:01:41,819 - INFO - размер множества omega: 454, время итерации: 14.372866794001311
2025-12-01 11:01:56,103 - INFO - размер множества omega: 453, время итерации: 14.283731960000296
2025-12-01 11:02:10,443 - INFO - размер множества omega: 452, время итерации: 14.339256655999634
2025-12-01 11:02:24,609 - INFO - размер множества omega: 451, время итерации: 14.16615806700429
2025-12-01 11:02:38,856 - INFO - размер множества omega: 450, время итерации: 14.246981526994205
2025-12-01 11:02:52,941 - INFO - размер множества omega: 449, время итерации: 14.08448201900319
2025-12-01 11:03:07,023 - INFO - размер множества omega: 448, время итерации: 14.082631539000431
2025-12-01 11:03:20,988 - INFO - размер множества omega: 447, время итерации: 13.964310818999365
2025-12-01 11:03:35,011 - INFO - размер множества omega: 446, время итерации: 14.023112506998586
2025-12-01 11:03:48,906 - INFO - размер множества omega: 445, время итерации: 13.895296773000155
2025-12-01 11:04:02,767 - INFO - размер множества omega: 444, время итерации: 13.8609418049964
2025-12-01 11:04:16,620 - INFO - размер множества omega: 443, время итерации: 13.852575583994621
2025-12-01 11:04:30,443 - INFO - размер множества omega: 442, время итерации: 13.823017127004277
2025-12-01 11:04:44,247 - INFO - размер множества omega: 441, время итерации: 13.804221562997554
2025-12-01 11:04:57,797 - INFO - размер множества omega: 440, время итерации: 13.549253561002843
2025-12-01 11:05:11,407 - INFO - размер множества omega: 439, время итерации: 13.60993900399626
2025-12-01 11:05:24,823 - INFO - размер множества omega: 438, время итерации: 13.416137421998428
2025-12-01 11:05:38,202 - INFO - размер множества omega: 437, время итерации: 13.379153590001806
2025-12-01 11:05:51,537 - INFO - размер множества omega: 436, время итерации: 13.334391978001804
2025-12-01 11:06:04,829 - INFO - размер множества omega: 435, время итерации: 13.29228261300159
2025-12-01 11:06:18,181 - INFO - размер множества omega: 434, время итерации: 13.352306458000385
2025-12-01 11:06:31,484 - INFO - размер множества omega: 433, время итерации: 13.302619540998421
2025-12-01 11:06:44,673 - INFO - размер множества omega: 432, время итерации: 13.188618367996241
2025-12-01 11:06:57,788 - INFO - размер множества omega: 431, время итерации: 13.114874352999323
2025-12-01 11:07:10,762 - INFO - размер множества omega: 430, время итерации: 12.974411652001436
2025-12-01 11:07:23,761 - INFO - размер множества omega: 429, время итерации: 12.998326865999843
2025-12-01 11:07:36,763 - INFO - размер множества omega: 428, время итерации: 13.002697357005673
2025-12-01 11:07:49,795 - INFO - размер множества omega: 427, время итерации: 13.03122496099968
2025-12-01 11:08:02,678 - INFO - размер множества omega: 426, время итерации: 12.8827503240027
2025-12-01 11:08:15,599 - INFO - размер множества omega: 425, время итерации: 12.921616406994872
2025-12-01 11:08:28,471 - INFO - размер множества omega: 424, время итерации: 12.871489789002226
2025-12-01 11:08:41,312 - INFO - размер множества omega: 423, время итерации: 12.841535728999588
2025-12-01 11:08:54,107 - INFO - размер множества omega: 422, время итерации: 12.794049844997062
2025-12-01 11:09:06,794 - INFO - размер множества omega: 421, время итерации: 12.68749824900442
2025-12-01 11:09:19,433 - INFO - размер множества omega: 420, время итерации: 12.638429753002129
2025-12-01 11:09:31,899 - INFO - размер множества omega: 419, время итерации: 12.46667056500155
2025-12-01 11:09:44,383 - INFO - размер множества omega: 418, время итерации: 12.48345159299788
2025-12-01 11:09:56,959 - INFO - размер множества omega: 417, время итерации: 12.575621996002155
2025-12-01 11:10:09,402 - INFO - размер множества omega: 416, время итерации: 12.443663090001792
2025-12-01 11:10:21,870 - INFO - размер множества omega: 415, время итерации: 12.46755545400083
2025-12-01 11:10:34,224 - INFO - размер множества omega: 414, время итерации: 12.354196947002492
2025-12-01 11:10:46,543 - INFO - размер множества omega: 413, время итерации: 12.318773033999605
2025-12-01 11:10:58,868 - INFO - размер множества omega: 412, время итерации: 12.324920248996932
2025-12-01 11:11:11,163 - INFO - размер множества omega: 411, время итерации: 12.295191062999947
2025-12-01 11:11:23,333 - INFO - размер множества omega: 410, время итерации: 12.169412060000468
2025-12-01 11:11:35,563 - INFO - размер множества omega: 409, время итерации: 12.229863177999505
2025-12-01 11:11:47,639 - INFO - размер множества omega: 408, время итерации: 12.075932857995213
2025-12-01 11:11:59,694 - INFO - размер множества omega: 407, время итерации: 12.055196361005073
2025-12-01 11:12:11,787 - INFO - размер множества omega: 406, время итерации: 12.092955503998382
2025-12-01 11:12:23,801 - INFO - размер множества omega: 405, время итерации: 12.014000933995703
2025-12-01 11:12:35,754 - INFO - размер множества omega: 404, время итерации: 11.952345864003291
2025-12-01 11:12:47,605 - INFO - размер множества omega: 403, время итерации: 11.851694949000375
2025-12-01 11:12:59,508 - INFO - размер множества omega: 402, время итерации: 11.902112358999148
2025-12-01 11:13:11,284 - INFO - размер множества omega: 401, время итерации: 11.776543502004643
2025-12-01 11:13:22,930 - INFO - размер множества omega: 400, время итерации: 11.645599823001248
2025-12-01 11:13:34,605 - INFO - размер множества omega: 399, время итерации: 11.674511392993736
2025-12-01 11:13:46,226 - INFO - размер множества omega: 398, время итерации: 11.621546237001894
2025-12-01 11:13:57,850 - INFO - размер множества omega: 397, время итерации: 11.624200200996711
2025-12-01 11:14:09,586 - INFO - размер множества omega: 396, время итерации: 11.73576974000025
2025-12-01 11:14:21,089 - INFO - размер множества omega: 395, время итерации: 11.502638856996782
2025-12-01 11:14:32,624 - INFO - размер множества omega: 394, время итерации: 11.534676860996115
2025-12-01 11:14:44,063 - INFO - размер множества omega: 393, время итерации: 11.43878610899992
2025-12-01 11:14:55,362 - INFO - размер множества omega: 392, время итерации: 11.299363777994586
2025-12-01 11:15:06,628 - INFO - размер множества omega: 391, время итерации: 11.266134520999913
2025-12-01 11:15:18,025 - INFO - размер множества omega: 390, время итерации: 11.396267304000503
2025-12-01 11:15:29,213 - INFO - размер множества omega: 389, время итерации: 11.188633067999035
2025-12-01 11:15:40,543 - INFO - размер множества omega: 388, время итерации: 11.330041401997732
2025-12-01 11:15:51,722 - INFO - размер множества omega: 387, время итерации: 11.178136918999371
2025-12-01 11:16:02,887 - INFO - размер множества omega: 386, время итерации: 11.165374627998972
2025-12-01 11:16:14,024 - INFO - размер множества omega: 385, время итерации: 11.136817418002465
2025-12-01 11:16:25,145 - INFO - размер множества omega: 384, время итерации: 11.120912739999767
2025-12-01 11:16:36,176 - INFO - размер множества omega: 383, время итерации: 11.030373878005776
2025-12-01 11:16:47,260 - INFO - размер множества omega: 382, время итерации: 11.084481509999023
2025-12-01 11:16:58,171 - INFO - размер множества omega: 381, время итерации: 10.911177719004627
2025-12-01 11:17:09,159 - INFO - размер множества omega: 380, время итерации: 10.98754635899968
2025-12-01 11:17:20,064 - INFO - размер множества omega: 379, время итерации: 10.905418984002608
2025-12-01 11:17:30,872 - INFO - размер множества omega: 378, время итерации: 10.807812622995698
2025-12-01 11:17:41,647 - INFO - размер множества omega: 377, время итерации: 10.774210492003476
2025-12-01 11:17:52,395 - INFO - размер множества omega: 376, время итерации: 10.748257249004382
2025-12-01 11:18:03,056 - INFO - размер множества omega: 375, время итерации: 10.660837944000377
2025-12-01 11:18:13,687 - INFO - размер множества omega: 374, время итерации: 10.631099879996327
2025-12-01 11:18:24,299 - INFO - размер множества omega: 373, время итерации: 10.61194402899855
2025-12-01 11:18:34,874 - INFO - размер множества omega: 372, время итерации: 10.575235464995785
2025-12-01 11:18:45,459 - INFO - размер множества omega: 371, время итерации: 10.58412986100302
2025-12-01 11:18:55,977 - INFO - размер множества omega: 370, время итерации: 10.518431536998833
2025-12-01 11:19:06,370 - INFO - размер множества omega: 369, время итерации: 10.393134638994525
2025-12-01 11:19:16,884 - INFO - размер множества omega: 368, время итерации: 10.513429997998173
2025-12-01 11:19:27,297 - INFO - размер множества omega: 367, время итерации: 10.413009600000805
2025-12-01 11:19:37,631 - INFO - размер множества omega: 366, время итерации: 10.334360758002731
2025-12-01 11:19:47,940 - INFO - размер множества omega: 365, время итерации: 10.30836716700287
2025-12-01 11:19:58,323 - INFO - размер множества omega: 364, время итерации: 10.383149366993166
2025-12-01 11:20:08,477 - INFO - размер множества omega: 363, время итерации: 10.153458159002184
2025-12-01 11:20:18,687 - INFO - размер множества omega: 362, время итерации: 10.210342690996185
2025-12-01 11:20:28,818 - INFO - размер множества omega: 361, время итерации: 10.130468565002957
2025-12-01 11:20:38,894 - INFO - размер множества omega: 360, время итерации: 10.076772330001404
2025-12-01 11:20:48,938 - INFO - размер множества omega: 359, время итерации: 10.043661896997946
2025-12-01 11:20:59,026 - INFO - размер множества omega: 358, время итерации: 10.087311500006763
2025-12-01 11:21:08,931 - INFO - размер множества omega: 357, время итерации: 9.905090430998825
2025-12-01 11:21:18,859 - INFO - размер множества omega: 356, время итерации: 9.92817405200185
2025-12-01 11:21:28,753 - INFO - размер множества omega: 355, время итерации: 9.894188637998013
2025-12-01 11:21:38,594 - INFO - размер множества omega: 354, время итерации: 9.84089896700607
2025-12-01 11:21:48,378 - INFO - размер множества omega: 353, время итерации: 9.783837795999716
2025-12-01 11:21:58,109 - INFO - размер множества omega: 352, время итерации: 9.730497920005291
2025-12-01 11:22:07,911 - INFO - размер множества omega: 351, время итерации: 9.801809813005093
2025-12-01 11:22:17,586 - INFO - размер множества omega: 350, время итерации: 9.67505957600224
2025-12-01 11:22:27,222 - INFO - размер множества omega: 349, время итерации: 9.636118262002128
2025-12-01 11:22:36,851 - INFO - размер множества omega: 348, время итерации: 9.628439810003329
2025-12-01 11:22:46,337 - INFO - размер множества omega: 347, время итерации: 9.486467637005262
2025-12-01 11:22:55,812 - INFO - размер множества omega: 346, время итерации: 9.474389554001391
2025-12-01 11:23:05,333 - INFO - размер множества omega: 345, время итерации: 9.521736463997513
2025-12-01 11:23:14,728 - INFO - размер множества omega: 344, время итерации: 9.39461905999633
2025-12-01 11:23:24,153 - INFO - размер множества omega: 343, время итерации: 9.424707240999851
2025-12-01 11:23:33,453 - INFO - размер множества omega: 342, время итерации: 9.30000989799737
2025-12-01 11:23:42,745 - INFO - размер множества omega: 341, время итерации: 9.291511851995892
2025-12-01 11:23:51,914 - INFO - размер множества omega: 340, время итерации: 9.169661039995844
2025-12-01 11:24:01,167 - INFO - размер множества omega: 339, время итерации: 9.25258448299428
2025-12-01 11:24:10,356 - INFO - размер множества omega: 338, время итерации: 9.189203822003037
2025-12-01 11:24:19,492 - INFO - размер множества omega: 337, время итерации: 9.13609821699356
2025-12-01 11:24:28,703 - INFO - размер множества omega: 336, время итерации: 9.210517954001261
2025-12-01 11:24:37,725 - INFO - размер множества omega: 335, время итерации: 9.021764681994682
2025-12-01 11:24:46,715 - INFO - размер множества omega: 334, время итерации: 8.990573369999765
2025-12-01 11:24:55,622 - INFO - размер множества omega: 333, время итерации: 8.906094459001906
2025-12-01 11:25:04,615 - INFO - размер множества omega: 332, время итерации: 8.993214633002935
2025-12-01 11:25:13,530 - INFO - размер множества omega: 331, время итерации: 8.915487580001354
2025-12-01 11:25:22,325 - INFO - размер множества omega: 330, время итерации: 8.794078769002226
2025-12-01 11:25:31,169 - INFO - размер множества omega: 329, время итерации: 8.844694536004681
2025-12-01 11:25:39,884 - INFO - размер множества omega: 328, время итерации: 8.714925977001258
2025-12-01 11:25:48,607 - INFO - размер множества omega: 327, время итерации: 8.72230925400072
2025-12-01 11:25:57,264 - INFO - размер множества omega: 326, время итерации: 8.656868386999122
2025-12-01 11:26:05,882 - INFO - размер множества omega: 325, время итерации: 8.61822292800207
2025-12-01 11:26:14,566 - INFO - размер множества omega: 324, время итерации: 8.683496334000665
2025-12-01 11:26:23,077 - INFO - размер множества omega: 323, время итерации: 8.51117682900076
2025-12-01 11:26:31,638 - INFO - размер множества omega: 322, время итерации: 8.560870355999214
2025-12-01 11:26:40,113 - INFO - размер множества omega: 321, время итерации: 8.474677779995545
2025-12-01 11:26:48,598 - INFO - размер множества omega: 320, время итерации: 8.485000304994173
2025-12-01 11:26:57,018 - INFO - размер множества omega: 319, время итерации: 8.420179886001279
2025-12-01 11:27:05,397 - INFO - размер множества omega: 318, время итерации: 8.378741271000763
2025-12-01 11:27:13,688 - INFO - размер множества omega: 317, время итерации: 8.290950575996249
2025-12-01 11:27:21,968 - INFO - размер множества omega: 316, время итерации: 8.280596973003412
2025-12-01 11:27:30,138 - INFO - размер множества omega: 315, время итерации: 8.16965754499688
2025-12-01 11:27:38,356 - INFO - размер множества omega: 314, время итерации: 8.217274510992866
2025-12-01 11:27:46,484 - INFO - размер множества omega: 313, время итерации: 8.128188754999428
2025-12-01 11:27:54,671 - INFO - размер множества omega: 312, время итерации: 8.186774763002177
2025-12-01 11:28:02,697 - INFO - размер множества omega: 311, время итерации: 8.025878200998704
2025-12-01 11:28:10,824 - INFO - размер множества omega: 310, время итерации: 8.127526374002628
2025-12-01 11:28:18,835 - INFO - размер множества omega: 309, время итерации: 8.010547696998401
2025-12-01 11:28:26,907 - INFO - размер множества omega: 308, время итерации: 8.071682563997456
